SMILES,C_log_index,DFT C NMR,ML C NMR,exp_result,DFT H NMR,H_log_index,ML H NMR,name,regio,predicted_y
c1n2ccncc2nc1,1,110.3638,118.63,1,7.2039,10,7.42,comp38,0.0,1
c1n2ccncc2nc1,3,116.4586,122.32,0,7.5963,11,7.99,comp38,17.7683,0
c1n2ccncc2nc1,4,129.6186,132.7,0,7.6156,12,8.13,comp38,14.0603,0
c1n2ccncc2nc1,6,144.3893,141.73,0,8.7583,13,8.55,comp38,20.3978,0
c1n2ccncc2nc1,9,135.5628,133.4,0,7.4819,14,7.26,comp38,15.4979,0
c1c(sc(n1)c1ccc(cc1)OC)OC,1,114.7599,128.23,1,6.454,16,7.3,comp20,0.233,1
c1c(sc(n1)c1ccc(cc1)OC)OC,7,126.1508,128.65,0,8.1651,17,7.45,comp20,13.8519,0
c1c(sc(n1)c1ccc(cc1)OC)OC,8,107.2367,115.06,0,6.4959,18,6.95,comp20,0.0,1
c1c(sc(n1)c1ccc(cc1)OC)OC,10,116.6217,111.14,0,6.7111,19,6.87,comp20,1.5217,0
c1c(sc(n1)c1ccc(cc1)OC)OC,11,125.7262,128.51,0,7.2225,20,8.26,comp20,13.7225,0
n1ccc(=O)[nH]c1,2,153.4702,154.42,0,7.5193,8,7.97,comp105,36.9069,0
n1ccc(=O)[nH]c1,3,117.5479,117.11,1,6.1323,9,6.53,comp105,0.0,1
n1ccc(=O)[nH]c1,7,146.0553,150.67,0,7.4084,11,8.19,comp105,47.3375,0
c1cc(c2cncc(n2)N)oc1,1,111.9838,112.42,0,6.2682,13,6.45,comp131,7.1739999999999995,0
c1cc(c2cncc(n2)N)oc1,2,110.8711,108.3,0,7.0047,14,7.08,comp131,13.7397,0
c1cc(c2cncc(n2)N)oc1,5,128.687,129.08,1,8.1879,15,8.44,comp131,0.5318,1
c1cc(c2cncc(n2)N)oc1,7,127.6184,130.03,0,7.4878,16,8.33,comp131,0.0,0
c1cc(c2cncc(n2)N)oc1,12,141.3101,143.43,0,7.153,19,7.51,comp131,9.0086,0
o1ccnc1,2,136.7697,140.06,1,7.3013,6,7.55,arr38,0.0,1
o1ccnc1,3,127.6472,128.51,0,6.9270000000000005,7,7.05,arr38,3.0215,0
o1ccnc1,5,148.4975,153.04,0,7.3868,8,7.8,arr38,7.6191,0
COc1cccc2ccccc12,4,100.3005,104.1,0,6.4201,16,6.84,arr61,1.1207,0
COc1cccc2ccccc12,5,125.0443,125.83,0,7.1771,17,7.35,arr61,12.8044,0
COc1cccc2ccccc12,6,119.2088,120.73,1,7.2253,18,7.4,arr61,0.0,1
COc1cccc2ccccc12,8,126.6891,127.19,0,7.5845,19,7.72,arr61,7.5065,0
COc1cccc2ccccc12,9,125.7655,126.69,0,7.3099,20,7.45,arr61,12.7603,0
