,mol_id,atom_index,shift,DFT_shift
9,2192,27,112.4,103.05498868579498
87,2207,14,57.9,65.38939444941998
146,2245,4,65.92,74.28851627042499
151,2245,14,203.43,211.092158079305
173,2251,0,183.83,171.86427163475497
174,2251,6,185.42,178.40144732055495
175,2255,7,19.5,25.795603996199983
183,2255,17,131.7,142.99061814553002
184,2255,18,131.7,143.673812925585
224,2282,24,17.6,25.86886211521
229,2282,23,25.6,17.609830692889968
257,2290,13,132.24,139.11576621219498
258,2290,8,136.57,145.51270768864995
261,2290,3,168.92,160.02738326553498
278,2293,6,182.0,7.107891758953
280,2293,23,204.0,9.575346391099
285,2339,32,60.9,52.411593026225006
308,2340,13,14.7,1.1305116420909975
313,2340,19,43.0,0.9121673532849996
314,2340,15,44.6,4.406040793376999
316,2340,17,58.9,3.539686407675997
327,2348,9,108.8,121.51187887273
328,2348,10,121.5,129.10830123973
335,2348,11,143.3,137.31089105056998
340,2361,6,48.9,35.11774796352
342,2361,11,111.2,94.3702290125
343,2361,10,124.8,141.697583351025
349,2361,7,142.5,153.02891338179995
354,2366,21,20.9,1.4217285652979967
358,2366,11,26.0,1.0318280495729972
359,2366,12,28.3,1.1208439333969975
363,2366,13,44.9,1.126133811738999
366,2366,20,50.2,1.4025755575079977
367,2366,6,50.5,5.552302707208998
377,2370,20,56.5,3.954029809532997
385,2370,6,133.4,7.506547935381999
401,2425,11,21.5,4.826859735962998
402,2425,13,21.5,2.3236528226089987
403,2425,15,24.5,2.663755518079995
407,2425,14,45.8,1.9335698972859952
413,2425,7,135.5,53.03438368440497
415,2425,2,137.3,124.74915321884998
417,2425,10,141.1,4.692971091030998
421,2431,9,19.0,2.411665453643998
422,2431,23,22.2,1.7004504310420003
423,2431,3,29.0,136.50737125973998
427,2431,28,56.3,129.344022284935
428,2431,27,56.5,4.439968978604998
429,2431,8,57.8,2.216122364588
431,2431,18,105.2,0.9832158917059992
434,2431,21,115.9,3.1103854187829967
435,2431,20,116.5,0.9946164915809989
436,2431,15,117.5,1.2652211302139982
437,2431,16,121.1,3.943632462447
440,2431,19,136.0,0.9701736054489948
441,2431,22,138.3,2.1281097335529964
442,2431,13,154.4,1.3579764107969972
443,2431,10,157.3,2.1573864740319952
470,2440,25,12.3,1.1090785143259971
474,2440,19,18.9,1.4463538610279976
476,2440,26,19.5,1.0146815473609971
477,2440,24,22.9,0.9391639737889969
478,2440,7,24.9,0.6442988586219975
479,2440,22,26.2,1.3991097751459982
480,2440,8,26.6,1.4166210965539996
481,2440,27,28.9,35.750203281199994
484,2440,21,33.6,2.049399992016
485,2440,20,34.9,1.537832274425
486,2440,9,35.8,0.9503821640659956
489,2440,2,39.5,68.18760331445499
494,2440,29,65.1,1.0508898525639978
496,2440,31,68.6,1.2388629433029976
512,2452,8,15.6,1.7631081279549967
513,2452,18,16.8,1.8294140168279969
515,2452,26,19.2,1.0155023905519975
516,2452,12,21.05,37.91025467944999
517,2452,25,21.14,0.569602128240998
518,2452,10,32.1,2.0662728798309966
519,2452,16,36.0,1.9309249581149963
520,2452,17,36.9,1.874286777936
526,2452,9,78.4,2.408199671281998
538,2453,29,44.1,4.832879252696998
542,2453,26,128.6,6.469093346756999
545,2453,25,133.1,7.075696464905999
546,2453,7,141.3,0.5819147761059966
548,2453,16,25.9,1.0449615406289965
550,2453,15,38.9,2.430271232639996
552,2453,17,76.1,1.872371477156996
553,2453,5,118.7,1.961296156181998
555,2453,10,142.0,1.3644519515259963
556,2453,6,152.2,1.787915833282998
564,2453,11,104.2,0.6503183753559973
572,2469,6,158.1,165.84212565371
576,2481,6,100.6,92.244487155475
581,2481,13,146.5,155.91400753573998
584,2481,9,167.2,151.697413242485
586,2481,7,173.5,164.35657084196498
588,2481,15,188.4,181.09692085510503
612,2495,14,37.3,45.993099359084965
613,2495,13,41.6,28.003592105569965
615,2495,0,108.5,102.438963289265
617,2495,2,112.9,124.325357899775
618,2495,4,112.9,124.98303797875
619,2495,1,115.2,124.62003336793
620,2495,3,115.2,124.091473139875
623,2495,8,145.5,133.792858345975
624,2495,11,145.5,137.22013989786498
625,2495,7,160.4,140.5499050354
626,2495,12,160.4,142.25697384288495
628,2495,6,193.8,178.27880279150003
634,2506,1,101.0,111.43917744863998
635,2506,0,109.7,120.5343952109
642,2529,11,20.7,4.920800678932999
647,2529,5,85.2,4.799863115458997
648,2529,4,105.3,4.895445744810999
649,2529,9,109.4,156.36805323905
661,2537,1,144.1,151.377513013035
703,2553,33,18.1,25.95391111880997
705,2553,31,26.0,18.196958757514977
736,2558,14,133.8,124.39069099799498
737,2558,17,192.7,185.03797570601492
750,2559,7,74.5,3.1280791497889986
755,2559,17,121.5,5.0168393322799965
759,2559,16,160.0,4.581701236250996
760,2559,5,175.1,3.1073756604160003
763,2568,1,26.2,33.49302205497497
767,2568,21,37.9,2.9171224497019987
768,2568,23,39.1,3.4022407755829995
769,2568,13,40.1,2.6089414338809966
773,2568,27,48.4,1.6963462150869972
775,2568,22,49.0,3.4866964194569974
776,2568,17,56.5,2.1792756257919983
777,2568,25,56.5,2.207913932678
778,2568,24,63.7,3.146776133583998
782,2568,14,78.9,4.020791722401
825,2581,27,17.1,1.4558391601239968
832,2581,26,34.6,1.2910320883309971
839,2581,6,144.5,151.54925401235002
845,2581,28,176.7,0.9056006077569982
846,2581,17,177.7,8.500041810888998
849,2584,20,25.8,19.83067279939496
858,2584,0,103.5,111.37635716189
860,2584,5,116.3,123.13921423934
868,2585,18,17.8,0.054386218689995
872,2585,14,31.9,2.008722651661998
874,2585,13,47.8,1.6581314043059976
875,2585,11,75.3,140.39701012210998
876,2585,28,96.2,2.2146630878039986
877,2585,26,103.2,4.509740649839998
880,2585,25,107.8,4.270419257263995
881,2585,20,111.2,5.528863073865995
883,2585,15,124.4,1.7413101809939988
885,2585,17,131.6,0.9830334821079988
886,2585,19,149.1,1.7413101809939988
888,2585,21,159.4,2.221138628532998
890,2585,29,163.0,1.612255390408997
897,2590,5,19.2,96.60489158209
915,2590,3,79.0,6.1338245056329965
920,2590,4,83.3,72.45561359624998
924,2590,0,163.1,150.98503119074
925,2593,12,19.3,3.3736024686969976
926,2593,14,19.3,1.5216890250019972
927,2593,0,31.9,39.25170941804996
930,2593,13,35.2,2.2140246542109985
935,2593,10,173.4,1.201560180511997
956,2596,26,26.7,8.168421161725
957,2596,25,29.5,6.807554355845998
959,2596,14,71.6,106.9613474091
962,2596,24,109.5,3.6713861374319983
965,2596,1,123.2,129.57481435379498
967,2596,18,125.3,7.299513041651997
991,2600,18,67.5,0.9981734787420002
997,2600,20,166.3,1.420360493312998
998,2600,11,172.1,1.8435507606730008
1000,2610,12,124.64,117.981475403975
1008,2610,20,131.81,139.251844617955
1014,2610,17,137.65,130.01001397108
1015,2610,24,139.42,127.85692112766998
1017,2610,16,141.52,148.20702146406
1018,2610,13,144.56,130.730321043615
1022,2610,29,175.74,165.92379202648502
1023,2693,10,13.9,6.026841276405996
1024,2693,11,17.3,5.862034204612996
1027,2693,5,33.2,24.314881514204984
1029,2693,9,40.7,134.35476164930498
1032,2693,22,110.9,2.4952090495279973
1038,2693,19,138.4,6.343139519337998
1039,2693,21,142.7,7.100777784630999
1040,2693,3,144.7,167.55711948198498
1043,2697,6,19.3,5.968379000246997
1045,2697,22,55.3,6.787854119261997
1046,2697,21,55.4,7.083448872820995
1052,2697,11,106.7,2.6352084159929987
1053,2697,12,108.1,2.749944053135
1054,2697,13,119.6,1.6868609159909982
1057,2697,14,147.8,2.088344441188997
1067,2735,14,115.5,108.573895846675
1078,2735,2,150.8,144.74543037094497
1081,2739,9,28.5,3.6364546994149975
1083,2739,24,40.4,3.866929226487997
1084,2739,23,44.6,3.910981144405
1088,2739,13,60.3,1.995133136610999
1097,2739,6,192.2,5.067731610121999
1114,2745,16,131.33,138.077781781895
1146,2825,18,21.1,1.205573191667998
1148,2825,14,25.5,0.8993986814249979
1149,2825,15,29.0,1.2768041396869982
1152,2825,13,72.4,1.7671211391109978
1180,2862,0,19.3,26.07085349875999
1181,2862,1,26.6,17.631189590384988
1182,2862,19,45.8,52.19075555665
1190,2862,14,124.2,132.18562547112498
1191,2862,13,133.2,126.72770231168998
1196,3156,28,14.5,6.792779178407997
1198,3156,33,18.2,-0.2148503479579986
1201,3156,27,38.9,3.049643022648997
1202,3156,7,41.9,7.164803553528997
1203,3156,6,49.8,7.242601247075998
1204,3156,24,57.8,1.4550183169329962
1214,3156,32,133.3,0.4633485374059987
1219,3156,8,169.8,56.53598646784998
1220,3156,25,173.6,1.1990064461399967
1221,3156,29,179.9,4.039853525391997
1224,3285,9,62.78,3.798708036835997
1226,3285,15,63.7,3.664636982305996
1228,3285,13,74.38,1.7309128339080004
1229,3285,14,75.26,3.597783864638995
1272,3325,22,55.44,4.064752435518997
1275,3325,26,75.81,3.836558028420999
1276,3325,27,86.0,2.413307140025996
1279,3325,19,114.04,5.988079236830997
1281,3325,7,121.23,38.35202626519498
1283,3325,17,130.11,6.850967840169999
1288,3325,23,152.56,4.653844232259999
1309,3409,5,104.2,119.33965000350996
1314,3409,1,118.3,103.207883599085
1316,3409,16,125.0,135.96972625175502
1330,3492,12,56.0,3.774082741105997
1336,3492,7,119.3,1.4348620563539995
1337,3492,9,127.9,4.0186028072249975
1338,3492,6,129.3,1.345481353333998
1339,3492,15,129.4,3.4651720868929985
1341,3492,8,139.0,1.1348894724429996
1347,3707,14,43.6,115.54839737484998
1350,3707,32,53.8,2.1729824946609995
1351,3707,19,58.1,169.49362730599998
1357,3707,2,125.4,132.43159105540002
1363,3707,7,154.6,5.401176355265997
1364,3707,15,170.0,6.0413428394469975
1365,3707,22,172.7,6.1189581233959975
1369,3715,19,21.0,5.591338361180998
1372,3715,21,21.6,2.100474679455996
1382,3715,23,72.9,1.7103917541329992
1384,3715,26,115.7,0.8485064035829986
1385,3715,22,168.9,1.766026681522998
1386,3715,17,170.0,4.591916173738998
1387,3715,25,173.4,1.0974043000539986
1389,3744,0,109.8,127.28699615695496
1390,3744,1,122.7,110.21601814232
1396,3870,18,41.3,4.113547002983997
1397,3870,10,61.3,2.413307140025996
1399,3870,24,71.8,48.39525047780997
1401,3870,7,77.9,2.0691002285999964
1405,3870,16,116.3,3.899580544529997
1406,3870,11,128.6,3.7158940793439967
1407,3870,13,128.6,55.49983832285497
1408,3870,12,134.7,3.9014046405099982
1410,3870,15,156.5,3.1455904711969964
1412,3873,26,18.2,26.063411710944987
1415,3873,25,25.8,18.857151647959995
1436,3995,18,17.8,137.88941756824
1443,3995,21,44.3,2.3951573850249983
1445,3995,20,57.9,1.8192902841389973
1453,3995,6,200.0,0.8095619544099968
1475,4289,17,18.29,25.706592482204968
1479,4289,16,25.92,19.239775517565
1495,4289,19,176.48,170.45062188968996
1501,4293,1,105.7,97.776538253275
1510,4293,17,133.0,139.846221177205
1553,5508,2,110.6,118.39212678613
1554,5508,8,121.9,132.76453857517498
1561,5509,16,17.9,3.7669687667839966
1562,5509,15,25.7,73.84626145170499
1564,5509,19,27.5,125.16202747269
1566,5509,24,45.6,1.2871102819739946
1568,5509,17,73.8,41.91799568090997
1569,5509,22,74.2,1.3691033962749977
1572,5509,13,123.0,7.034471895757996
1574,5509,3,128.4,140.61746100530502
1575,5509,14,135.7,141.94490198762998
1577,5509,5,143.3,129.07495816445498
1578,5509,7,170.3,186.91775197876493
1579,5509,9,190.4,59.124762161519975
1580,6558,12,15.6,39.07706902088501
1582,6558,11,19.6,39.36034019083
1583,6558,5,21.2,69.13870245584998
1584,6558,19,23.6,50.74318285673999
1585,6558,10,31.1,48.42530756885498
1590,6558,9,46.6,3.2314141870559965
1591,6558,23,49.7,32.15765605185999
1592,6558,21,55.2,124.77002888337
1593,6558,18,62.8,0.7119728194799961
1594,6558,15,64.6,14.61823199125999
1597,6558,7,140.4,150.162278727505
1598,6558,13,214.2,1.657128151517
1600,6605,22,11.5,3.068796030439
1601,6605,17,16.0,1.849205458211
1602,6605,26,16.4,4.2263673393469965
1604,6605,15,20.5,6.707137872146998
1606,6605,20,26.7,5.103939915325
1607,6605,19,41.0,2.3574898030379963
1615,6605,13,127.1,2.2925519861499986
1617,6605,12,169.2,1.835251123964
1618,6605,23,175.7,3.854707783421997
1619,6605,18,176.0,2.365698234947996
1620,6609,8,30.2,38.577599417924965
1621,6609,7,40.7,32.881828988195
1658,6768,19,32.2,0.9569489095939973
1661,6768,18,39.5,1.9524492906789988
1670,6768,22,116.1,2.0047096405060003
1671,6768,24,117.8,2.841696080928997
1673,6768,25,129.6,1.9445144731659951
1674,6768,21,130.6,1.4761778303009976
1675,6768,20,133.6,1.8565930469299945
1679,6768,23,160.5,1.0320104591709978
1680,6768,16,172.2,2.4873654368139992
1682,7061,9,90.5,77.31200834840497
1684,7061,2,118.3,111.794160392075
1689,7061,11,128.5,136.601215103485
1691,7061,4,144.9,129.872099280015
1692,7061,7,157.2,138.99408814908998
1694,7061,12,186.6,177.24294458628998
1710,7066,14,114.6,108.01924103797
1719,7078,3,106.0,122.264852494375
1728,7108,13,12.8,1.308361000140998
1730,7108,7,34.7,1.1430066995539967
1731,7108,14,35.5,1.0048314290689966
1732,7108,8,40.7,0.7025787251829989
1734,7108,12,76.3,0.4431010720279964
1735,7108,20,118.0,0.9952549251739952
1743,7108,22,134.0,1.7838116173279983
1744,7108,1,140.5,147.440710612305
1745,7108,6,140.5,1.1125442966879966
1746,7108,21,144.6,1.6703528473719975
1747,7108,17,166.0,1.260934504660998
1751,7229,28,25.9,1.9054788191939984
1756,7229,13,46.0,4.8978170695849945
1761,7229,16,120.1,51.699500914264966
1762,7229,26,123.8,2.190676225666998
1763,7229,22,125.7,2.0645399886499973
1765,7229,21,128.1,23.59950341801499
1766,7229,23,128.1,2.5321469931229963
1767,7229,24,128.1,5.7662691656629965
1768,7229,27,130.4,1.936214836456997
1774,7229,10,209.2,3.9310462001849977
1775,7236,16,17.6,2.258715005720997
1776,7236,9,23.9,4.806703475383999
1778,7236,17,25.7,2.233633685995997
1779,7236,13,25.9,1.4352268755499968
1784,7236,10,36.6,4.745869874450996
1785,7236,29,36.6,3.5508133931539985
1789,7236,23,69.1,96.57087198064998
1793,7236,19,102.7,1.5561644390239984
1796,7236,14,124.1,2.131028287120998
1797,7236,15,130.1,2.4612808642999973
1799,7236,7,152.5,160.71560366852998
1802,7359,9,38.48,3.4970025617439973
1804,7359,21,54.8,2.7115468327559995
1805,7359,23,55.44,2.3338677600969966
1806,7359,25,55.49,1.6163596063639964
1807,7359,8,57.87,3.663998548712996
1808,7359,26,60.62,1.7809842685589992
1810,7359,4,113.44,126.71726447943
1818,7359,11,133.32,6.219830631089997
1841,7695,29,55.8,3.688623844442997
1842,7695,17,56.7,145.02000334733998
1844,7695,32,69.5,7.171735118252998
